      Step    0:Max. ln(P)          Max. M              ok      knot       Tot. Max.
         0  -100000.000000        1.322355            1319         0        0.000000
         1  -100000.000000        1.110839            1503        17  -100000.000000
         2  -100000.000000        1.112465            1502        17  -100000.000000
         3  -100000.000000        1.242293            1248        14  -100000.000000
         4  -100000.000000        1.200740            1483        13  -100000.000000
         5  -100000.000000        1.068744            1302        15  -100000.000000
         6  -100000.000000        0.889094            1530        17  -100000.000000
         7  -100000.000000        1.068608            1302        15  -100000.000000
         8  -100000.000000        1.230277            1243        13  -100000.000000
         9  -100000.000000        1.242788            1240        10  -100000.000000
        10  -100000.000000        1.242871            1240         6  -100000.000000
        11  -100000.000000        1.303997            1223        11  -100000.000000
